naam, type, uri, functie
mr. dr. J. Beuving,loopbaan,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#11,"junior universitair docent privaatrecht, Katholieke Universiteit Nijmegen, van 1 september 1991 tot 1 maart 1996"
mr. dr. J. Beuving,nevenfuncties,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#12,"lid Gemeenschappelijk Controleorgaan Eurojust, van 1 januari 2007 tot 1 september 2011"
mr. dr. J. Beuving,nevenfuncties,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#13,"rechter-plaatsvervanger in de rechtbank Den Haag, van 7 februari 2006 tot 7 juni 2011"
mr. dr. J. Beuving,nevenfuncties,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#14,"rechter-plaatsvervanger in de rechtbank Almelo, van 19 mei 1999 tot 1 september 2000 en van 1 mei 2005 tot 31 januari 2006"
mr. dr. J. Beuving,nevenfuncties,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#15,"contactpersoon in het kader van de klachtenregeling van Openbare Basisschool De Weier, Almelo, van 28 november 2002 tot 1 mei 2005"
mr. dr. J. Beuving,nevenfuncties,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#16,"bestuurslid Stichting Voortgezet Montessori Onderwijs Nijmegen e.o., van 1994 tot 1996"
mr. dr. J. Beuving,nevenfuncties,https://www.eerstekamer.nl/persoon/mr_dr_j_beuving_pvda#17,"jaarlijks opgetreden als docent voor de Grotius-opleiding Financiering & Zekerheden, van 1996 tot 2003"
prof. dr. S.C. van Bijsterveld,opleiding,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#1,"Nederlands recht: staats- en bestuursrecht en privaatrecht, Rijksuniversiteit Utrecht, van 1977 tot 1983"
prof. dr. S.C. van Bijsterveld,opleiding,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#2,"v.w.o., \"Christelijk Gymnasium\" te Utrecht, van 1971 tot 1977"
prof. dr. S.C. van Bijsterveld,opleiding,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#3,"rechtsgeleerdheid, Katholieke Universiteit Brabant te Tilburg, 16 december 1988"
prof. dr. S.C. van Bijsterveld,loopbaan,https://www.eerstekamer.nl/persoon/prof_dr_s_c_van_bijsterveld_cda#4,"hoogleraar Religie, recht en samenleving, Radboud Universiteit Nijmegen, vanaf 1 september 2014"
